b c e b c b a d e b b b b e c b b a a c b 
a d a b c a a d c c a b d d c a b c e a b 
d c c c b c b a b b c c b a a b d b c d b 
a d b e c d c c e c e e a b a a e d d a b 
e c c b c b d e d e b c b c c c e a b a b 
a e b e b a e b d b c c a e e a d c b c b 
c b c b a e b a b a c d b c d e d c e e b 
a b c d e d d e e a d b e c e e e b e a a 
d e b b b a d c a d d d d d e c a c c d a 
a d d e c d a b e b e c c d c d a d a d e 
d d b c d b b c c a e e b a a b b c b a a 
c b e a c b b d e a a d c d b c b d a d c 
c e b a b d a d e a e e a e c c c a c b d 
e b e b a c e b a c a c e d e e a c e c c 
b d d e e e c a b e a a a b a b e e a c b 
d c d c d d b e b e e d e a e d c a c b d 
b c e e a d a a b a a b e c b d e c c b a 
c b a e b e b c b a e e d b d b e d a c c 
a a a e c c d d c d a b d a b b a a e e a 
e e d e c e c c d d b c b b c c d c b a c 
a a d e e b b b c e c c b d c a c b e c e 
